rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
82,7d13fca15225358621be4086e1eb0964,565,561,4.025,98,0,0.1166,113628.97,0.1747,0.0,0.1455,SP,ribeirao preto
83,1dfe5347016252a7884b694d4f10f5c4,21,20,3.4,6,0,0.25,1693.5,0.3,0.0,0.1455,SP,ibitinga
84,44073f8b7e41514de3b7815dd0237f4f,144,143,3.755,29,0,0.0355,18729.64,0.2028,0.0,0.1451,DF,brasilia
85,11bfa66332777660bd0640ee84d47006,76,76,3.921,17,0,0.1447,3925.87,0.2237,0.0,0.1446,SP,ribeirao preto
86,e8b3a3a38279a82f0e5d006d5e5b7d2c,87,87,3.793,19,0,0.0375,13154.7,0.2184,0.0,0.1445,PR,jussara
87,b17b679f4f5ce2e03ce6968c62648246,55,55,3.709,13,2,0.16,4084.75,0.2364,0.0364,0.1437,SP,ribeirao preto
88,5656537e588803a555b8eb41f07a944b,174,174,3.874,34,0,0.0599,8065.93,0.1954,0.0,0.1433,DF,brasilia
89,ea566164622c6b439516ab18062c42cd,50,50,3.78,12,0,0.1875,10309.42,0.24,0.0,0.143,SP,sao  paulo
90,25c5c91f63607446a97b143d2d535d31,158,157,3.834,31,0,0.0705,54679.22,0.1975,0.0,0.1428,MG,itauna
91,d05ae8f7a5bd1d2a690a44cd079e4e27,78,77,3.857,17,1,0.0649,13436.0,0.2208,0.0128,0.1427,RJ,rio de janeiro
92,b1fc4f64df5a0e8b6913ab38803c57a9,107,105,3.857,22,0,0.1215,7994.74,0.2095,0.0,0.1426,RJ,sao goncalo
93,04308b1ee57b6625f47df1d56f00eedf,94,94,3.883,20,0,0.0769,60130.6,0.2128,0.0,0.1422,SC,bombinhas
94,522620dcb18a6b31cd7bdf73665113a9,174,170,3.888,33,0,0.0877,57168.49,0.1941,0.0,0.1417,PR,cascavel
95,59b22a78efb79a4797979612b885db36,125,124,3.984,25,0,0.1157,27184.5,0.2016,0.0,0.1404,MG,uberlandia
96,4c2b230173bb36f9b240f2b8ac11786e,261,257,3.973,47,0,0.093,14592.27,0.1829,0.0,0.1404,SP,sao paulo
97,f84a00e60c73a49e7e851c9bdca3a5bb,90,90,3.833,19,0,0.1023,5949.94,0.2111,0.0,0.1395,RJ,rio de janeiro
98,0be8ff43f22e456b4e0371b2245e4d01,161,161,3.95,31,3,0.0649,11805.5,0.1925,0.0186,0.1391,SP,sao paulo
99,8160255418d5aaa7dbdc9f4c64ebda44,385,381,3.934,66,0,0.1379,47017.69,0.1732,0.0,0.1385,SP,ibitinga
100,609e1a9a6c2539919b8205cf7c4e6ff0,87,85,3.812,18,0,0.0122,6595.23,0.2118,0.0,0.1384,SC,brusque
101,054694fa03fe82cec4b7551487331d74,21,21,3.476,6,0,0.3,9983.1,0.2857,0.0,0.1381,SP,itajobi
102,52f0fe436a347ddad7ed5f9aa4e27eaa,21,21,3.524,6,0,0.1053,1484.37,0.2857,0.0,0.1381,SP,sao paulo
103,2138ccb85b11a4ec1e37afbd1c8eda1f,396,395,3.939,67,3,0.0465,12357.03,0.1696,0.0076,0.1358,SP,sao paulo
104,7ddcbb64b5bc1ef36ca8c151f6ec77df,334,331,3.955,57,2,0.0844,55578.57,0.1722,0.006,0.1353,SP,sao paulo
105,cc419e0650a3c5ba77189a1882b7556a,1706,1698,4.069,256,9,0.0529,104288.42,0.1508,0.0053,0.1346,SP,santo andre
106,ea8482cd71df3c1969d7b9473ff13abc,1146,1140,3.996,176,1,0.0867,37177.52,0.1544,0.0009,0.1346,SP,sao paulo
107,ef506c96320abeedfb894c34db06f478,324,321,3.931,55,1,0.0791,9771.43,0.1713,0.0031,0.134,SP,sao paulo
108,ce27a3cc3c8cc1ea79d11e561e9bebb6,135,130,3.9,25,0,0.0169,10682.65,0.1923,0.0,0.1338,SP,sao paulo
109,06a2c3af7b3aee5d69171b0e14f0ee87,392,388,3.99,65,0,0.2,36408.95,0.1675,0.0,0.1336,MA,sao luis
110,fffd5413c0700ac820c7069d66d98c89,60,59,3.847,13,1,0.125,9062.3,0.2203,0.0167,0.1335,SP,amparo
111,8a32e327fe2c1b3511609d81aaf9f042,132,131,3.832,25,2,0.0317,6429.01,0.1908,0.0152,0.1327,SP,sao paulo
112,ea67327e24487bdfac5fbfa37ea124df,32,32,3.531,8,0,0.0333,6250.18,0.25,0.0,0.1325,SP,ibitinga
113,4a3ccda38b2129705f3fb522db62ca31,66,66,3.879,14,1,0.0625,17062.59,0.2121,0.0152,0.1308,SP,marilia
114,99eaacc9e6046db1c82b163c5f84869f,66,66,3.879,14,1,0.1111,13139.17,0.2121,0.0152,0.1308,SP,franca
115,f3da5b2ff499efb8d4a6d371d175d7dd,79,78,3.821,16,0,0.125,3702.29,0.2051,0.0,0.1304,SP,sao paulo
116,dd7ddc04e1b6c2c614352b383efe2d36,122,121,3.851,23,0,0.1261,9178.51,0.1901,0.0,0.1301,SP,sao paulo
117,e2aee0892199b1d92530e371abd825bf,38,38,3.789,9,1,0.1389,5662.57,0.2368,0.0263,0.1299,PR,rolandia
118,8b321bb669392f5163d04c59e235e066,943,939,4.075,141,0,0.0882,17535.69,0.1502,0.0,0.1288,SP,sao paulo
119,f45122a9ab94eb4f3f8953578bc0c560,187,187,3.957,33,0,0.0718,22078.29,0.1765,0.0,0.1285,SP,piracicaba
120,99a54764c341d5dc80b4a8fac4eba3fb,45,44,3.614,10,0,0.1163,3708.76,0.2273,0.0,0.1284,SP,sao paulo
121,2d50d6282f8aa2257819a77bfaa0efe0,44,44,3.705,10,0,0.0976,3353.48,0.2273,0.0,0.1284,SP,ibitinga
122,8e6cc767478edae941d9bd9eb778d77a,106,104,3.923,20,2,0.06,6830.58,0.1923,0.0189,0.1281,MG,araguari
123,165fc07beebdcb6190fba8a06db2a449,50,50,3.8,11,0,0.08,17481.4,0.22,0.0,0.1275,PR,maringa
124,b14db04aa7881970e83ffa9426897925,83,80,3.712,16,0,0.1026,5898.6,0.2,0.0,0.127,SP,sorocaba
125,cd68562d3f44870c08922d380acae552,125,124,3.944,23,1,0.1557,18569.7,0.1855,0.008,0.1269,SP,ribeirao preto
126,f7ccf836d21b2fb1de37564105216cc1,70,68,3.809,14,0,0.0746,2787.4,0.2059,0.0,0.1268,SP,ibitinga
127,cee48807215b30a12ca2ca10ffb5f250,39,39,3.769,9,0,0.1282,7212.23,0.2308,0.0,0.1265,SP,guaruja
128,39d54ff918774174706fb065d7f9dc07,23,23,3.913,6,1,0.0909,1593.59,0.2609,0.0435,0.1255,SP,sao paulo
129,2528513dd95219a6013d4d05176e391a,161,158,3.949,28,1,0.0382,32689.1,0.1772,0.0062,0.1255,SP,osasco
130,2a261b5b644fa05f4f2700eb93544f2c,51,51,3.843,11,0,0.1633,5355.0,0.2157,0.0,0.1249,SP,porto ferreira
131,cfb1a033743668a192316f3c6d1d2671,147,146,3.979,26,1,0.0986,12803.64,0.1781,0.0068,0.1245,SP,votorantim
132,1f50f920176fa81dab994f9023523100,1404,1399,4.133,198,1,0.0891,106939.21,0.1415,0.0007,0.1242,SP,sao jose do rio preto
133,c31eff8334d6b3047ed34bebd4d62c36,122,121,3.851,22,0,0.1176,13191.5,0.1818,0.0,0.1232,SP,salto
134,391fc6631aebcf3004804e51b40bcf1e,526,523,4.033,79,0,0.0879,39951.95,0.1511,0.0,0.123,SP,ibitinga
135,e9bc59e7b60fc3063eb2290deda4cced,216,216,3.991,36,1,0.0766,34343.06,0.1667,0.0046,0.1229,PR,maringa
136,d91fb3b7d041e83b64a00a3edfb37e4f,535,531,4.089,80,0,0.0389,40889.74,0.1507,0.0,0.1228,SP,praia grande
137,6039e27294dc75811c0d8a39069f52c0,64,64,3.688,13,0,0.1746,13670.7,0.2031,0.0,0.1227,SP,osasco
138,81f89e42267213cb94da7ddc301651da,46,46,3.674,10,0,0.0,3955.0,0.2174,0.0,0.1226,SP,presidente prudente
139,318f287a62ab7ac10b703ac37435a231,52,52,3.865,11,0,0.098,2517.48,0.2115,0.0,0.1224,SP,sao paulo
140,17306570e772e7718c92a562d33f5f1d,29,29,3.621,7,0,0.0741,9669.8,0.2414,0.0,0.1222,SP,bariri
141,c826c40d7b19f62a09e2d7c5e7295ee2,354,352,4.08,55,0,0.0758,45643.74,0.1562,0.0,0.122,SP,guarulhos
142,0b90b6df587eb83608a64ea8b390cf07,164,163,4.018,28,0,0.038,28592.32,0.1718,0.0,0.1216,PR,maringa
143,77530e9772f57a62c906e1c21538ab82,320,318,4.107,50,1,0.0951,46610.4,0.1572,0.0031,0.1213,PR,curitiba
144,dd2bdf855a9172734fbc3744021ae9b9,108,104,3.856,19,2,0.0571,10816.7,0.1827,0.0185,0.1202,MG,belo horizonte
145,a673821011d0cec28146ea42f5ab767f,129,124,4.016,22,2,0.1048,13863.69,0.1774,0.0155,0.1202,SP,sao paulo
146,aae3bfea055532c57fb453ed3ec80b30,48,47,3.596,10,0,0.0,3057.92,0.2128,0.0,0.1199,SP,santo andre
147,db2956745b3a8e9f3785c99f34b5d25e,47,47,3.766,10,0,0.0909,8599.0,0.2128,0.0,0.1199,SP,sao sebastiao
148,634964b17796e64304cadf1ad3050fb7,268,267,4.037,42,1,0.0943,39465.1,0.1573,0.0037,0.1185,RJ,rio de janeiro
149,001cca7ae9ae17fb1caed9dfb1094831,200,197,3.985,32,0,0.0615,25080.03,0.1624,0.0,0.1174,ES,cariacica
150,e5a38146df062edaf55c38afa99e42dc,121,120,3.958,21,0,0.0769,15360.07,0.175,0.0,0.1174,SP,sao paulo
151,92eb0f42c21942b6552362b9b114707d,341,338,3.991,51,0,0.048,6548.63,0.1509,0.0,0.1167,SP,sao paulo
152,1127b7f2594683f2510f1c2c834a486b,114,114,4.088,20,4,0.0182,6851.33,0.1754,0.0351,0.1165,SP,campinas
153,4869f7a5dfa277a7dca6462dcf3b52b2,1132,1124,4.133,152,1,0.1061,229472.63,0.1352,0.0009,0.1164,SP,guariba
154,1c68394e931a64f90ea236c5ea590300,142,142,3.901,24,0,0.0355,24832.75,0.169,0.0,0.1163,PR,sarandi
155,966cb4760537b1404caedd472cc610a5,75,74,3.865,14,0,0.0303,51286.05,0.1892,0.0,0.1162,SP,diadema
156,4e7c18b98d84e05cbae3ff0ff03846c2,82,81,4.16,15,0,0.0375,9177.9,0.1852,0.0,0.1156,SP,jaboticabal
157,48162d548f5b1b11b9d29d1e01f75a61,68,68,3.897,13,1,0.0152,20510.14,0.1912,0.0147,0.1153,SP,piracicaba
158,822166ed1e47908f7cfb49946d03c726,69,68,3.985,13,0,0.0145,3714.83,0.1912,0.0,0.1153,RJ,tres rios
159,bd23da7354813347129d751591d1a6e2,89,88,4.011,16,1,0.0235,10544.3,0.1818,0.0112,0.1151,SP,sao paulo
160,198c7ea11960a9844b544d9bcdca860c,25,25,3.88,6,0,0.08,1733.75,0.24,0.0,0.115,MG,jacutinga
161,272f092de69afedd4d2969440b37f18f,26,25,3.84,6,1,0.0,1935.33,0.24,0.0385,0.115,SP,sao paulo
162,2709af9587499e95e803a6498a5a56e9,26,25,3.84,6,0,0.12,1279.56,0.24,0.0,0.115,SP,sao paulo
163,41b39e28db005d9731d9d485a83b4c38,195,195,4.067,31,2,0.0486,17112.55,0.159,0.0103,0.1143,SP,santo andre
164,834f8533b2ecb6598dd004ff3de7203a,43,43,3.814,9,0,0.1463,4538.29,0.2093,0.0,0.1142,SP,sao paulo
165,688756f717c462a206ad854c5027a64a,83,82,3.866,15,0,0.037,5966.54,0.1829,0.0,0.1141,SP,guarulhos
166,3fd1e727ba94cfe122d165e176ce7967,37,37,3.784,8,1,0.2,2805.2,0.2162,0.027,0.1139,SP,araraquara
167,b2ba3715d723d245138f291a6fe42594,337,334,4.099,49,4,0.0683,51676.88,0.1467,0.0119,0.1128,SP,sao paulo
168,3be634553519fb6536a03e1358e9fdc7,83,83,3.94,15,0,0.075,5370.95,0.1807,0.0,0.1127,SP,sao paulo
169,98dac6635aee4995d501a3972e047414,91,90,4.144,16,0,0.0455,4235.85,0.1778,0.0,0.1125,SP,sao paulo
170,23d7c96d4a1160db1c726b248601b25a,53,50,3.8,10,3,0.1,11766.94,0.2,0.0566,0.1124,SP,capivari
171,7f152321c60a266edc53af1925ef96c1,20,20,3.8,5,0,0.3,3919.8,0.25,0.0,0.1119,SC,criciuma
172,ef2fbc2b607d8492bcffe657a4645434,20,20,3.85,5,0,0.1053,970.8,0.25,0.0,0.1119,RJ,rio de janeiro
173,f593898ec748b7a8cb81fc04edafd98a,20,20,3.7,5,0,0.1579,2813.04,0.25,0.0,0.1119,SP,pedreira
174,f4c4daa86e30c7e5a553a8d518ac03a5,20,20,3.7,5,1,0.0556,6301.91,0.25,0.05,0.1119,PR,cascavel
175,53e4c6e0f4312d4d2107a8c9cddf45cd,473,471,4.085,66,2,0.0477,30148.95,0.1401,0.0042,0.1117,SP,pedreira
176,dfa0c4c6229ab200a4a1336b4d7128ff,77,77,4.0,14,0,0.0145,4777.1,0.1818,0.0,0.1115,SC,florianopolis
177,70c27847eca8195c983ed7e798c56743,77,77,4.234,14,0,0.0658,12077.52,0.1818,0.0,0.1115,RJ,rio de janeiro
178,0bf0150d5b9d60d9cd2906003332f085,39,38,3.789,8,0,0.1579,5774.6,0.2105,0.0,0.1107,SP,sao paulo
